ingredient,recipe
rice,Zucchini Herb Casserole;Green Risotto with Fava Beans;Pad Kee Mow (Drunkard's Noodles);Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang);Authentic Pad Thai;Kedgeree;Broccoli and Rice Stir Fry;Broccoli Rice Casserole;Gluten Free Fried Green Tomatoes;Mulligatawny Soup I;Vietnamese Rice Noodle Salad;Refined Sugar Free-Mango Sticky Rice;Sukhothai Pad Thai;Chinese Chicken Fried Rice II;Vietnamese Fresh Spring Rolls;Spicy Thai Basil Chicken (Pad Krapow Gai);Mango with Sticky Coconut Rice (Kao Niaw);Day-After-Thanksgiving Turkey Carcass Soup;Chef John's Stuffed Peppers;Cabbage and Smoked Sausage Soup
roasted peanut,Slow Cooker Thai Peanut Pork;Slow Cook Thai Chicken;Yam Taeng (Spicy Cucumber Salad)
roquefort cheese,Roquefort Pear Salad
rosemary,Classic Minestrone Soup;Slow Cooker Beef Pot Roast;Shrimp and Grits With Kielbasa;New Orleans Barbeque Shrimp;Roasted Vegetables;Lamb Chops with Balsamic Reduction;Vegetable Beef Minestrone;Zucchini Soup I;Skewered Grilled Potatoes;Garden Veggie Zucchini Soup;Split Pea Soup with Rosemary
rum,The Real Mojito
rye bread,Eggs Benedict with Salmon
sage,"Chorizo Breakfast Tacos with Potato Hash and Eggs;Old Charleston Style Shrimp and Grits;Pork Chops with Raspberry Sauce;Air Fryer Breakfast Frittata;Shrimp and Grits With Kielbasa;Italian Sausage Soup with Tortellini;Sausage Casserole;Picante Chicken Chili;Day-After-Thanksgiving Turkey Carcass Soup;Roasted Sage Broccoli;Cheesy Sausage and Vegetable Soup;Sausage, Peppers, Onions, and Potato Bake"
salmon,Fire and Ice Smoked Salmon;Baked Dijon Salmon;Pan Seared Salmon I;Cedar Planked Salmon;Homemade Lox;Firecracker Grilled Alaska Salmon;Baked Salmon II;Salmon and Swiss Chard Quiche
sauerkraut,Russian Green Bean and Potato Soup
savory,Zucchini Soup with Herbs
scallion,Easy Pineapple Chicken;Thai Chicken Bites With Dipping Sauce
scallop,Easy Garlic-Lemon Scallops
seed,Strawberry Spinach Salad I;Spinach and Strawberry Salad;Jamie's Cranberry Spinach Salad;Irresistible Double Chocolate Muffins;Sweet Restaurant Slaw;Broccoli with Poppy Seed Butter and Parmesan Cheese;Winter Fruit Salad with Lemon Poppyseed Dressing;All-Around Good Smoothie
sesame oil,Oriental Cold Noodle Salad;Cedar Planked Salmon;Sesame Broccoli;Addictive Asian Beef Slaw (Crack Slaw);Firecracker Grilled Alaska Salmon;Thai Noodle Salad;Shanghai Noodle Salad
sesame seed,Strawberry Spinach Salad I;Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang);Spinach and Strawberry Salad;Sesame Broccoli;Jamie's Cranberry Spinach Salad;Refined Sugar Free-Mango Sticky Rice;Shanghai Noodle Salad
shallot,Chicken Makhani (Indian Butter Chicken);Fabulous Roasted Cauliflower Soup;Quick Brussels and Bacon;Lamb Chops with Balsamic Reduction;Chef John's Steak Diane;Spicy Thai Basil Chicken (Pad Krapow Gai);Shrimp Scampi with Pasta;Absolutely The Best Shrimp Scampi
sherry,Rich and Simple French Onion Soup;Cream of Cauliflower Soup II;Chicken and Artichoke Minestrone;Roasted Cauliflower Soup;American French Onion Soup;Cream of Cauliflower and Stilton Soup
shrimp,Shrimp and Cheesy Grits with Bacon;Old Charleston Style Shrimp and Grits;Shrimp and Grits With Kielbasa;Thai Red Curry Paste;Thai Noodle Salad;New Orleans Barbeque Shrimp;Momma's Shrimp and Cheese Grits;Simple Garlic Shrimp;Shrimp and Veggie Stew;Creamy Pesto Shrimp;Lemon-Garlic Shrimp and Grits;Spicy Garlic and Pepper Shrimp;Vietnamese Fresh Spring Rolls;Shrimp Quiche;Shrimp Scampi with Pasta;Spicy Edam Shrimp Quiche;Absolutely The Best Shrimp Scampi;Tequila Shrimp;Fried Green Tomatoes with Shrimp Remoulade;Wonton Soup;Baked Shrimp Scampi;The Best Thai Coconut Soup;Yam Taeng (Spicy Cucumber Salad);Chef John's Shrimp and Grits ;Seafood Omelets with Creamy Cheese Sauce;Garlic Shrimp and Cheesy Grits;Shrimp and Grits Louisiana Style
smoke,Quick Creamed Curried Corn ;Homemade Lox;Clark's Quiche;Herbed Grilled Artichokes;Chef John's Ham and Potato Soup;Chef John's Chicken Tikka Masala
smoked salmon,"Eggs Benedict with Salmon;Smoked Salmon Quiche;Croissant and Salmon Breakfast Casserole;Smoked Salmon and Egg Salad;Smoked Salmon Pizette;Smoked Salmon Scramble;Smoked Salmon Frittata;RITZ ""Everything"" Bites with Lox and Schmear;Smoked Salmon Dill Eggs Benedict"
smoked sausage,Cabbage and Smoked Sausage Soup
soy sauce,Oriental Cold Noodle Salad;Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper);Hungarian Mushroom Soup;Pad Kee Mow (Drunkard's Noodles);Broccoli with Garlic Butter and Cashews;Cedar Planked Salmon;Peanut Butter Noodles;Addictive Asian Beef Slaw (Crack Slaw);Green Tomato Casserole;Firecracker Grilled Alaska Salmon;The Best Thai Peanut Sauce;Broccoli and Rice Stir Fry;Khao Man Gai Thai Chicken and Rice (Healthy Version);Thai Noodle Salad;The Best Marinade Around;Thai Chicken with Basil Stir Fry;Baked Asparagus with Balsamic Butter Sauce;Spicy Grilled Broccoli;Easy Pineapple Chicken;Chicken Satay;Zucchini Soup I;Thai Green Curry Chicken;Sukhothai Pad Thai;Ginger Glazed Mahi Mahi;Chinese Chicken Fried Rice II;Spicy Garlic and Pepper Shrimp;Spicy Thai Basil Chicken (Pad Krapow Gai);Wonton Soup;Slow Cook Thai Chicken;Chinese Cold Pasta Salad;Shanghai Noodle Salad
soybean,Khao Man Gai Thai Chicken and Rice (Healthy Version)
soybean oil,Oven Baked Sweet Potato Fries
squash,Butternut Squash Soup II;Awesome Slow Cooker Pot Roast Plus Extras;Mexican Zucchini Cheese Soup;Creamy Summer Squash Soup;Roasted Vegetables;Vegan Red Lentil Soup;Shrimp and Veggie Stew;Simple Roasted Butternut Squash;Mango-Bacon-Butternut Squash Hash;Curried Butternut Squash Soup;Red Curry Coconut Squash Soup;Butternut Squash and Turkey Chili;Butternut and Acorn Squash Soup;Carrot and Ginger Soup;Butternut and Apple Harvest Soup;Baked Butternut Squash;Disney's Ratatouille
starch,Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang)
strawberry,Judy's Strawberry Pretzel Salad
sweet potato,"Yummy Sweet Potato Casserole;Chef John's Sweet Potato Muffins;Winter Root Soup;Sweet Potato Minestrone;Yellow Dhal - Sweet Potato Soup;Roasted Vegetables;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Oven Baked Sweet Potato Fries;Honey Roasted Sweet Potatoes;Roasted Beets 'n' Sweets;Spicy Chipotle Sweet Potato Soup;Baked Sweet Potato Sticks"
swiss cheese,"Rich and Simple French Onion Soup;Chicken Cordon Bleu II;Creamy Ham and Cheese Quiche;Quiche Lorraine I;Croissant and Salmon Breakfast Casserole;French Onion Soup Gratinee;Quick Quiche;Creamy, Cheesy Zucchini Soup;Crabmeat Quiche;Three Cheese Breakfast Bake;Cheesy Amish Breakfast Casserole;Broccoli Cheese Bake;Easy Bacon and Cheese Quiche;Crab and Swiss Quiche;Cream of Cauliflower Soup I;Winter Fruit Salad with Lemon Poppyseed Dressing"
tamarind,Authentic Pad Thai;Sukhothai Pad Thai;Chicken Massaman Curry
tarragon,Creamy Summer Squash Soup;Fresh Tomato Zucchini Soup;Absolutely Ultimate Potato Soup;Savory Bacon and Crab Bread Pudding Eggs Benedict;Cream of Cauliflower Soup I;Zucchini Soup with Herbs
tequila,Baja-Style Fish Tacos;Tequila Shrimp
thyme,"Rich and Simple French Onion Soup;Healthier Potato and Cauliflower Soup;Fabulous Roasted Cauliflower Soup;American French Onion Soup;Slow Cooker Beef Pot Roast;Pork Chops with Raspberry Sauce;Pumpkin Soup;Turkey Carcass Soup;Homemade Sweet Italian Sausage (Mild or Hot);Herbed Grilled Artichokes;French Onion Soup Gratinee;New Orleans Barbeque Shrimp;Roasted Vegetables;Spicy Garlic Lime Chicken;Lamb Chops with Balsamic Reduction;Slow Cooker Vegetarian Minestrone;Oven Roasted Potatoes;Herb, Sausage, and Cheese Dutch Baby;Classic Minestrone;Shrimp and Veggie Stew;Chef John's Quiche Lorraine;Mulligatawny Soup I;Zucchini Soup I;Mango-Bacon-Butternut Squash Hash;Fat Granny's Minestrone Soup;Beef and Guinness Stew;Garden Veggie Zucchini Soup;Baked Broccoli;Roasted Yam and Kale Salad;Cream of Cauliflower Soup I;Cabbage and Smoked Sausage Soup;Disney's Ratatouille;Slow Cooker Texas Pulled Pork"
tomato,"Green Tomato and Bell Pepper Delight;Zucchini Herb Casserole;Cabbage Fat-Burning Soup;Chicken Tikka Masala;Green Tomato Pie III;Chicken Tortellini Soup With Zucchini and Tomatoes;Caldo de Res (Mexican Beef Soup);Quick and Easy Vegetable Soup;Barb's Fried Green Tomatoes with Zesty Sauce;Perfect Fried Green Tomatoes;Eggy Veggie Bake;Jamie's Minestrone;Spicy Black Bean Vegetable Soup;Chicken Makhani (Indian Butter Chicken);Summer Zucchini Stew;Pad Kee Mow (Drunkard's Noodles);Chef John's Fried Green Tomatoes ;White Bean Chicken Chili;Tortellini Minestrone Soup;Winter Green Salad;Fresh Tomato Salsa;Stir-Fried Kale and Broccoli Florets;Lentil Salad with a Persian Twist;Spicy Fried Green Tomatoes;Chicken and Artichoke Minestrone;Easy Mexican Casserole;Black Bean Huevos Rancheros;Laura's Quick Slow Cooker Turkey Chili;Kentucky Style Fried Green Tomatoes;Classic Minestrone Soup;Zucchini and Pork Soup;Provincial Tomatoes;Pesto Tuna Salad with Sun-Dried Tomatoes;Green Beans with Cherry Tomatoes;Slow Cooker Beef Pot Roast;Green Tomato Casserole;Sweet Potato Minestrone;Yellow Dhal - Sweet Potato Soup;Mama's Hearty Minestrone;Chicken Fiesta Salad;Chakchouka (Shakshouka);Bacon Ranch Pasta Salad;Lena's Minestrone;Mexican Zucchini Cheese Soup;Southern Fried Green Tomatoes;Turkey Carcass Soup;Chicken Parmesan;Afghan Tomato Soup (Aush Goshti);Italian Sausage Soup with Tortellini;Jersey Fresh Tomato Soup;Navy Bean Soup I;Beef Barley Vegetable Soup;Karen's Fried Green Tomatoes;Green Tomato Pasta Toss;World's Best Lasagna;Eggplant Caponata (Sicilian Version);Best Fried Green Tomatoes;Beef, Green Chili and Tomato Stew;Taco Salad I;One Skillet Mexican Quinoa;Chef John's Steak Diane;Slow Cooker Vegetarian Minestrone;Zucchini Soup III;Andrea's Pasta Fagioli;Insalata Caprese II;Picante Chicken Chili;Smoked Salmon Pizette;The Best Bean and Ham Soup;Authentic Chicken Tikka Masala;Bacon and Egg Breakfast Salad with Avocado Dressing;The Best Vegetarian Chili in the World;Zucchini Tomato Soup I;Vegan Red Lentil Soup;Old-World Cabbage Soup;Best Darn Minestrone Soup Around;Vegetable Beef Minestrone;Minestrone Soup I;Mawmaw's Simple Fried Green Tomatoes;Gluten Free Fried Green Tomatoes;Shrimp and Veggie Stew;Sarah's Fried Green Tomatoes;Green Tomato Raspberry Jam;Aussie Breakfast Egg Mess;Saltfish Buljol;Sean's Falafel and Cucumber Sauce;Fresh Tomato Zucchini Soup;Zesty Quinoa Salad;Summer Corn Salad;Greek Chicken Pasta;Easy Beef Stew for the Slow Cooker;Minestrone Soup II;Curry Stand Chicken Tikka Masala Sauce;Curried Coconut Chicken;Bean Soup With Kale;Butternut Squash and Turkey Chili;Mama Kathy's Minestrone;Instant Pot Vegan Vegetable and Barley Soup;Ken's Minestrone Soup;Frugal Fried Green Tomatoes;Fat Granny's Minestrone Soup;Kathy's Cabbage Soup;Simple Turkey Chili;Tomato Basil Penne Pasta;Herb 'n Honey Cucumber Tomato Salad;Pesto Chicken Penne Casserole;Black Bean and Corn Salad II;Beef and Guinness Stew;Green Tomato Relish;Indian Fish Curry;Healing Cabbage Soup;The Most Easy and Delish Meatloaf EVER!;Broccoli and Brussels Sprout Delight;Fried Green Tomatoes with Shrimp Remoulade;Fantastic Black Bean Chili;Greek Salad I;Best Italian Sausage Soup;Zucchini Tomato Soup II;Veggie Pesto Soup;Corrigan's Minestrone;Chef John's Stuffed Peppers;Ratatouille;Garden Fresh Tomato Soup;Prosciutto Fave Minestrone alla Riso ;Savory French Crepes ;Red Lentil Curry;Fried Green Tomatoes II;Beaker's Vegetable Barley Soup;Marinated Cucumber, Onion, and Tomato Salad;Awesome Pasta Salad;RITZ ""Everything"" Bites with Lox and Schmear;Yam Taeng (Spicy Cucumber Salad);Slow Cooker Zucchini Soup;Insanely Easy Vegetarian Chili;Chef John's Chicken Tikka Masala;Mediterranean Zucchini 'Pasta' Salad;Sharon's Awesome Chicago Chili;Fried Green Tomatoes III;Grandma's Slow Cooker Vegetarian Chili;Chef John's Minestrone Soup;Antipasto Pasta Salad;Macho Minestrone;Cabbage and Smoked Sausage Soup;Easy Southern Fried Green Tomatoes;Sweet Russian Cabbage Soup;Disney's Ratatouille;Vegan Black Bean Soup;Mediterranean Greek Salad;Six Can Chicken Tortilla Soup;Northern Fried Green Tomatoes;Israeli Tomato and Cucumber Salad;Chicken Milano"
tomato juice,Cabbage Fat-Burning Soup;Afghan Tomato Soup (Aush Goshti)
tuna,Pesto Tuna Salad with Sun-Dried Tomatoes;Tuna Salad Muffins;Drop Dead Delicious Tuna Salad;Barbie's Tuna Salad;New Wife Tuna Salad;Quick Tuna Salad;Campbell's Tuna Noodle Casserole
turkey,Laura's Quick Slow Cooker Turkey Chili;Turkey Carcass Soup;Keto Instant Pot Soup (Low Carb);Butternut Squash and Turkey Chili;Simple Turkey Chili;Turkey Veggie Meatloaf Cups;Fantastic Black Bean Chili;Day-After-Thanksgiving Turkey Carcass Soup
turmeric,Yellow Dhal - Sweet Potato Soup;Cape Malay Pickled Fish;Thai Red Curry Paste;Authentic Chicken Tikka Masala;Tom Ka Gai (Coconut Chicken Soup);Curry Stand Chicken Tikka Masala Sauce;Curried Cream of Cauliflower Soup;Indian Fish Curry;Red Lentil Curry;Chef John's Chicken Tikka Masala;Thai Chicken Bites With Dipping Sauce
vanilla,"Pecan Sour Cream Coffee Cake;Cream Cheese Pound Cake I;Yummy Sweet Potato Casserole;Sopapilla Cheesecake Pie;Baked Cider Doughnuts;Mom's Zucchini Bread;Fluffy French Toast;Waffles I;Apple-Raisin French Toast Casserole;Blueberry Sour Cream Coffee Cake;Vanilla-Almond Spiced French Toast;Overnight Blueberry French Toast;Banana Sour Cream Bread;Best Chocolate Chip Cookies;Quick and Almost-Professional Buttercream Icing;Apple Puff Pancake;Blueberry Zucchini Bread;Brooke's Best Bombshell Brownies;Sour Cream Coffee Cake I;Classic Cinnamon Rolls;Chef John's Banana Bread;Best Brownies;Apple Turnovers;White Chocolate Raspberry Cheesecake;French Toast I;Irresistible Double Chocolate Muffins;Chocolate Protein Muffins;Chocolate Cream Puff Swans;The Best Rolled Sugar Cookies;Pumpkin French Toast Bake;Best Big, Fat, Chewy Chocolate Chip Cookie;Oatmeal Pancakes II;Whole Wheat, Oatmeal, and Banana Pancakes;Buttermilk Doughnuts;Strawberry Oatmeal Breakfast Smoothie;Award Winning Soft Chocolate Chip Cookies;Sour Cream Coffee Cake III;Sour Cream Blueberry Coffee Cake;Polish Cream Cheese Coffee Cake;Baked French Toast;Cinnamon Rolls III;Baked Oatmeal Breakfast Bars;Banana Cinnamon Roll Casserole;Perfect Summer Fruit Salad;Tender and Easy Buttermilk Waffles;Old Fashioned Coconut Cream Pie;Classic Waffles"
vegetable,"Low Carb Cauliflower Leek Soup;Quick and Easy Vegetable Soup;Judy's Hearty Vegetable Minestrone Soup;Spicy Black Bean Vegetable Soup;Curried Apple and Leek Soup;Slow Cooker Chicken Pot Pie Stew;Sweet Potato Minestrone;Creamy Summer Squash Soup;Beef Barley Vegetable Soup;Slow Cooker Vegetarian Minestrone;The Best Bean and Ham Soup;Classic Minestrone;Curried Cauliflower Soup;Simple Cauliflower Soup;Old-World Cabbage Soup;Best Darn Minestrone Soup Around;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Fresh Tomato Zucchini Soup;Bean Soup With Kale;Instant Pot Vegan Vegetable and Barley Soup;Indian Fish Curry;Green Squash Soup;Cauliflower and White Cheddar Cheese Soup;Veggie Pesto Soup;Corrigan's Minestrone;Quinoa and Black Beans;Creamy Corn Chowder;Beaker's Vegetable Barley Soup;Spicy Chipotle Sweet Potato Soup;Creamy Zucchini Soup;Chinese Cold Pasta Salad;Roasted Carrot and Cauliflower Curried Soup;Vegan Black Bean Soup"
vegetable oil,"Zucchini Herb Casserole;Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper);Downeast Maine Pumpkin Bread;Bacon Cheese Muffins;Caldo de Res (Mexican Beef Soup);Chorizo Breakfast Tacos with Potato Hash and Eggs;Spicy Black Bean Vegetable Soup;Pad Kee Mow (Drunkard's Noodles);Chef John's Fried Green Tomatoes ;Strawberry Bread;Mom's Zucchini Bread;White Bean Chicken Chili;Easy Pancakes;Waffles I;Thai Chicken Curry in Coconut Milk;Chef John's Sweet Potato Muffins;Churros;Laura's Quick Slow Cooker Turkey Chili;Authentic Pad Thai;Spinach and Strawberry Salad;True Maryland Crab Cakes;Zucchini and Pork Soup;Cedar Planked Salmon;Blueberry Zucchini Bread;Slow Cooker Beef Pot Roast;Sweet Potato Minestrone;Yellow Dhal - Sweet Potato Soup;Mama's Hearty Minestrone;Chicken Fiesta Salad;Cape Malay Pickled Fish;Authentic Huevos Rancheros;Bacon Cheddar Chive Muffins;Jamie's Cranberry Spinach Salad;Cream of Cauliflower and Stilton Soup;Tuna Salad Muffins;Russian Green Bean and Potato Soup;Broccoli and Rice Stir Fry;Thai Red Curry Paste;Khao Man Gai Thai Chicken and Rice (Healthy Version);Pumpkin Bread IV;Mexican Egg Bake;Best Fried Green Tomatoes;Beef, Green Chili and Tomato Stew;Chef John's Steak Diane;Oat Crusted Fish;Sweet Restaurant Slaw;Picante Chicken Chili;Authentic Chicken Tikka Masala;Spicy Grilled Broccoli;Ashley's Apple Cider Doughnuts;To Die For Blueberry Muffins;Gluten Free Fried Green Tomatoes;Saltfish Buljol;Sukhothai Pad Thai;Tom Ka Gai (Coconut Chicken Soup);Ginger Glazed Mahi Mahi;Oatmeal Pancakes II;Curry Stand Chicken Tikka Masala Sauce;Whole Wheat, Oatmeal, and Banana Pancakes;Buttermilk Doughnuts;Curried Coconut Chicken;Chinese Chicken Fried Rice II;Zucchini Patties;Spicy Garlic and Pepper Shrimp;Frugal Fried Green Tomatoes;Spicy Thai Basil Chicken (Pad Krapow Gai);Crustless Spinach Quiche;Curried Cream of Cauliflower Soup;Pumpkin Pancakes;Sheet Pan Chicken Fajitas;Banana Pancakes I;Fantastic Black Bean Chili;Zucchini Tomato Soup II;Quinoa and Black Beans;Lemon Chicken Piccata;Red Lentil Curry;The Best Thai Coconut Soup;Fried Green Tomatoes II;Savory Bacon and Crab Bread Pudding Eggs Benedict;Marinated Cucumber, Onion, and Tomato Salad;Roasted Cauliflower and Leek Soup;Cheesy Sausage and Vegetable Soup;Chicken Massaman Curry;Insanely Easy Vegetarian Chili;Chef John's Chicken Tikka Masala;Fried Green Tomatoes III;Whole Wheat Blueberry Muffins;Cabbage and Smoked Sausage Soup;Thai Chicken Bites With Dipping Sauce;Winter Fruit Salad with Lemon Poppyseed Dressing;Slow Cooker Texas Pulled Pork;Northern Fried Green Tomatoes;Chicken Milano"
vinegar,"Oriental Cold Noodle Salad;Green Tomato and Bell Pepper Delight;Green Tomato Pie III;Pad Kee Mow (Drunkard's Noodles);Strawberry Spinach Salad I;Winter Green Salad;Baja-Style Fish Tacos;Lentil Salad with a Persian Twist;Broccoli with Garlic Butter and Cashews;Chicken Souvlaki with Tzatziki Sauce;Authentic Pad Thai;Cedar Planked Salmon;Classic Macaroni Salad;American French Onion Soup;Green Tomato Casserole;Eggs Benedict;Firecracker Grilled Alaska Salmon;Jamie's Cranberry Spinach Salad;Herb Watermelon Feta Salad;Khao Man Gai Thai Chicken and Rice (Healthy Version);French Onion Soup Gratinee;Authentic German Potato Salad;Thai Noodle Salad;Grilled Hearts of Romaine;Thai Chicken with Basil Stir Fry;Roasted Vegetables;Lamb Chops with Balsamic Reduction;Baked Asparagus with Balsamic Butter Sauce;Sweet Restaurant Slaw;Quick and Easy Eggs Benedict;Cindy's Coleslaw;Kecia's Broccoli Salad;Zucchini Gazpacho;Sukhothai Pad Thai;Thai Carrot Salad;Summer Corn Salad;Ginger Glazed Mahi Mahi;Slow Cooker Thai Peanut Pork;Thai Cucumber Salad;Herb 'n Honey Cucumber Tomato Salad;Green Tomato Relish;Filet Mignon with Rich Balsamic Glaze;Pumpkin Pancakes;Chef John's Stuffed Peppers;Savory Bacon and Crab Bread Pudding Eggs Benedict;Fluffy Pancakes;Marinated Cucumber, Onion, and Tomato Salad;Mediterranean Zucchini 'Pasta' Salad;Grandma Jeanette's Amazing German Red Cabbage;Smoked Salmon Dill Eggs Benedict;Antipasto Pasta Salad;Sweet Russian Cabbage Soup;Broccoli and Tortellini Salad;Buffalo Chicken Wing Sauce;Slow Cooker Texas Pulled Pork;Lentil Soup;Baked Beans, Texas Ranger"
walnut,"Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts;Mom's Zucchini Bread;Winter Green Salad;Banana Sour Cream Bread;Best Chocolate Chip Cookies;Chef John's Banana Bread;Blueberry Walnut Salad;Award Winning Soft Chocolate Chip Cookies;Monkey Bread I"
watermelon,Herb Watermelon Feta Salad;Watermelon Basil Salad
wheat,"Baked Cider Doughnuts;Barb's Fried Green Tomatoes with Zesty Sauce;Russian Green Bean and Potato Soup;Irresistible Double Chocolate Muffins;Whole Wheat, Oatmeal, and Banana Pancakes;Whole Wheat Blueberry Muffins;Shanghai Noodle Salad"
white bread,"Christmas Breakfast Sausage Casserole;Bacon, Egg, and Cheese Strata"
white wine,"Fresh Broccoli Salad;Green Risotto with Fava Beans;Chicken Cordon Bleu II;Spinach and Strawberry Salad;Pork Chops with Raspberry Sauce;Pad Thai;Slow Cooker Chicken with Mushroom Wine Sauce;Jamie's Cranberry Spinach Salad;Zucchini Soup II;Herbed Grilled Artichokes;Crabmeat Quiche;Picante Chicken Chili;Zucchini Fenchel Suppe (Zucchini and Fennel Soup);Perfect Ten Baked Cod;Browned Butter Vegetables with Almonds;Skewered Grilled Potatoes;Shrimp Scampi with Pasta;Absolutely The Best Shrimp Scampi;Baked Shrimp Scampi;Butternut and Apple Harvest Soup;Sausage, Peppers, Onions, and Potato Bake;Cream of Cauliflower Soup I;Alyson's Broccoli Salad;Shrimp and Grits Louisiana Style;Apple Stuffed Chicken Breast"
wine,"Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts;Wonton Soup;Sicilian Sunset"
wood,Fire and Ice Smoked Salmon;Chicken Souvlaki with Tzatziki Sauce;Thai Chicken Satay
yam,Winter Root Soup;Roasted Yam and Kale Salad
yeast,Classic Cinnamon Rolls;Ninety Minute Cinnamon Rolls;Apple Cider Glazed Doughnuts;Cinnamon Rolls III;Ooey-Gooey Cinnamon Buns
yogurt,"Eggs Benedict with Salmon;Chicken Tikka Masala;Quick Creamed Curried Corn ;Chicken Makhani (Indian Butter Chicken);Chicken Souvlaki with Tzatziki Sauce;Curried Apple and Leek Soup;Kedgeree;Tuna Salad Muffins;Cheddar Cheese Muffins;Chocolate Protein Muffins;Authentic Chicken Tikka Masala;Bacon and Egg Breakfast Salad with Avocado Dressing;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Sean's Falafel and Cucumber Sauce;All-Around Good Smoothie"
zucchini,"Zucchini Herb Casserole;Quick Creamy Zucchini Soup;Chicken Tortellini Soup With Zucchini and Tomatoes;Thai Red Chicken Curry;Eggy Veggie Bake;Jamie's Minestrone;Summer Zucchini Stew;Mom's Zucchini Bread;Tortellini Minestrone Soup;Summer Squash Soup;Classic Minestrone Soup;Zucchini and Pork Soup;Awesome Slow Cooker Pot Roast Plus Extras;Blueberry Zucchini Bread;Mama's Hearty Minestrone;Zucchini and Potato Bake;Mexican Zucchini Cheese Soup;Creamy Summer Squash Soup;Zucchini Soup II;Italian Sausage Soup with Tortellini;Creamy, Cheesy Zucchini Soup;Grilled Garlic Parmesan Zucchini;Slow Cooker Vegetarian Minestrone;Zucchini Soup III;Easy Zucchini Soup;Zucchini Tomato Soup I;Zucchini Fenchel Suppe (Zucchini and Fennel Soup);Zucchini Gazpacho;Fresh Tomato Zucchini Soup;Minestrone Soup II;Curried Zucchini Soup;Zucchini Patties;Instant Pot Vegan Vegetable and Barley Soup;Ken's Minestrone Soup;Fat Granny's Minestrone Soup;Turkey Veggie Meatloaf Cups;Green Squash Soup;Zucchini Gazpacho with Basil Cream;Best Italian Sausage Soup;Zucchini Tomato Soup II;Veggie Pesto Soup;Ratatouille;Garden Veggie Zucchini Soup;Beaker's Vegetable Barley Soup;Slow Cooker Zucchini Soup;Cheesy Sausage and Vegetable Soup;Mediterranean Zucchini 'Pasta' Salad;Zucchini Soup with Herbs;Macho Minestrone;Disney's Ratatouille;Shanghai Noodle Salad"
